review,rating,date,bank,source,clean_review,themes
You need to copy many things from other bank apps like Amole(Dashen),2,2025-04-06,CBE,Google Play,need copy many thing bank apps like amoledashen,Other
bring back the screenshot feature.,1,2025-04-05,CBE,Google Play,bring back screenshot feature,Other
Good!👍,3,2025-04-05,CBE,Google Play,good,Other
best app to experience him that to smooth transaction among the customers,1,2025-04-05,CBE,Google Play,best app experience smooth transaction among customer,Transactions
nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,4,2025-04-05,CBE,Google Play,nice app suitable use weak side need data connection hoping fixed offline gave rate,Other
easy to use,5,2025-04-05,CBE,Google Play,easy use,Other
"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",5,2025-04-04,CBE,Google Play,good job cbe team mobile app designed way thats simple intuitive navigate great everyone effectively handle essential banking task need perform regularly practical reliable tool make everyday banking much convenient thank useful application,Other
ለኔ በጣም ምርጥ ነው ግን screenshot ማረግ ቢቻል ምርጥ ነበር,5,2025-04-04,CBE,Google Play,በጣም ምርጥ screenshot ማረግ ቢቻል ምርጥ ነበር,Other
before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,3,2025-04-04,CBE,Google Play,smooth good time new update 2025 make screenshot recite even downlod button delayed putting recite gallery simple proof please fix unable show proof payment client thankyou,Transactions
cool ❤,4,2025-04-04,CBE,Google Play,cool,Other
Best app,5,2025-04-04,CBE,Google Play,best app,Other
best banking App,4,2025-04-03,CBE,Google Play,best banking app,Other
satisfied,5,2025-04-03,CBE,Google Play,satisfied,Other
this app is very necessary app many people found it,5,2025-04-03,CBE,Google Play,app necessary app many people found,Other
cbe very active Bank I'm using CBE app very very satisfaction,5,2025-04-03,CBE,Google Play,cbe active bank using cbe app satisfaction,Other
It made life alot easier. I cant even imagine having to make all those transactions in person. So this app was crucial for me. Very good app. well done.,5,2025-04-03,CBE,Google Play,made life alot easier cant even imagine make transaction person app crucial good app well done,Transactions
perfect,5,2025-04-03,CBE,Google Play,perfect,Other
thankyou,5,2025-04-02,CBE,Google Play,thankyou,Other
I Like it,5,2025-04-02,CBE,Google Play,like,Other
"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",1,2025-04-02,CBE,Google Play,dont understand reason need disable developer option access app security risk hinder apps functionality go dev hope life filled inconvenience,Other
smart app,5,2025-04-02,CBE,Google Play,smart app,Other
isin ga'a,2,2025-04-02,CBE,Google Play,isin gaa,Other
it's great,5,2025-04-02,CBE,Google Play,great,Other
very good app and stars faction with work,5,2025-04-02,CBE,Google Play,good app star faction work,Other
It is excelent,5,2025-04-01,CBE,Google Play,excelent,Other
Smart,5,2025-04-01,CBE,Google Play,smart,Other
በየወሩ አፕደት እየጠየቀኝ ነው ለነገሩ ብር ስሌለኝ ይሆናል እና ምን ለማለት ፈልገ መሰላቹ ወላህ ቼግሮኛል 🥺🥺🥺,3,2025-04-01,CBE,Google Play,በየወሩ አፕደት እየጠየቀኝ ለነገሩ ስሌለኝ ይሆናል ለማለት ፈልገ መሰላቹ ወላህ ቼግሮኛል,Other
very interesting app,5,2025-04-01,CBE,Google Play,interesting app,Other
wow.......cbe.....keep it up.....!!!!!!,5,2025-04-01,CBE,Google Play,wowcbekeep,Other
